city,scenario_id,metric_name,natcap_value,units,tolerance_pct,tolerance_abs,validation_status,source_file,source_cell_or_row,notes
SA,FF_MAX,carbon_tons_co2,1.0856e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_FF_MAX,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,UA_20ac,carbon_tons_co2,1.06962e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_UA_20ac,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,UA_40ac,carbon_tons_co2,1.06794e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_UA_40ac,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,UA_MAX,carbon_tons_co2,1.0566e+08,tons_CO2,1,,natcap_published,nootenboom_results/citywide_results_UPDATED.xlsx,c_sequestration_UA_MAX,NatCap four-pool carbon stock (tons C) × 44/12 → tons CO2 (absolute). Prototype carbon_tons_co2 is a stock change — compare to (scenario − baseline).
SA,baseline,nature_access_pct,107.217,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_baseline,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,FF_20ac,nature_access_pct,107.239,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_FF_20ac,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,FF_40ac,nature_access_pct,107.248,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_FF_40ac,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,FF_MAX,nature_access_pct,107.3,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_FF_MAX,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,UA_20ac,nature_access_pct,107.173,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_UA_20ac,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,UA_40ac,nature_access_pct,107.137,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_UA_40ac,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,UA_MAX,nature_access_pct,106.798,nature_balance_index,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,ntr_bal_avg_UA_MAX,Different metric — NatCap reports a per-block-group balance aggregate (mean supply − demand ≈ 107); prototype reports pct-meeting-demand. A citywide per-pixel mean does NOT reproduce NatCap's value (per-pixel supply blows up at low-population pixels). Per-block-group prototype aggregation in Track C provides the comparable framing (see NATCAP_ALIGNMENT.md 'SA UNA / biophysical extent').
SA,baseline,cooling_energy_savings_usd,2.64179e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_baseline_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,FF_20ac,cooling_energy_savings_usd,2.62551e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_FF_20ac_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,FF_40ac,cooling_energy_savings_usd,2.62134e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_FF_40ac_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,FF_MAX,cooling_energy_savings_usd,2.60633e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_FF_MAX_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,UA_20ac,cooling_energy_savings_usd,2.63194e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_UA_20ac_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,UA_40ac,cooling_energy_savings_usd,2.63043e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_UA_40ac_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,UA_MAX,cooling_energy_savings_usd,2.62395e+08,USD_per_yr,,,aligned_method,nootenboom_results/citywide_results_UPDATED.xlsx,annual_cdd_cost_UA_MAX_sum,Scope difference — NatCap citywide all-buildings AC spend; prototype computes savings over typed-OSM buildings (~29% coverage). Absolute spend stored; savings derivable as (baseline − scenario).
SA,baseline,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,FF_20ac,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,FF_40ac,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,FF_MAX,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,UA_20ac,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,UA_40ac,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,UA_MAX,flood_reduction,,index_0_100,,,aligned_method,,,No NatCap SA flood reference — NatCap used InVEST UFRM without damage valuation and published no flood metric in nootenboom_results.
SA,baseline,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,FF_20ac,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,FF_40ac,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,FF_MAX,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,UA_20ac,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,UA_40ac,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,UA_MAX,preventable_mh_cases,,cases_per_yr,,,aligned_method,,,"UMH not in NatCap's SA project; prototype UMH is validated vs canonical InVEST 3.19.0 (Brief B, MAE≈0) but has no NatCap SA reference value."
SA,baseline,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,FF_20ac,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,FF_40ac,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,FF_MAX,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,UA_20ac,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,UA_40ac,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
SA,UA_MAX,food_mln_lbs,,million_lbs_per_yr,,,prototype,,,No canonical InVEST analog — prototype food-forest yield benchmark.
